,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.71298,,,,,,,95.93864,,,96.8453,97.24696999999999,,,,,,98.14115,97.36639099722481,97.36594862210917,97.36550624699355,97.36506387187791,97.36462149676228,97.36417912164664,97.363736746531
5,,,,,,,,,,,,,,,,,,,47.1752510070801,47.6514015197754,48.1909790039063,48.720340728759794,49.312801361084006,49.460910797119105,50.2221183776855,51.006710052490206,51.924808502197294,52.4798698425293,53.4374198913574,54.3037109375,55.2286491394043,56.302490234375,57.210079193115206,57.9046783447266,58.7162094116211,59.685230255127,61.1546783447266,61.9118499755859,63.117618560790994,64.1757736206055,65.1159286499023,66.33673095703129,67.5214691162109,70.1877593994141,71.1753234863281,71.7514190673828,69.65244293212889,70.13626098632811,71.0801620483398,69.80551910400389,70.76441,72.59385999999999,73.7217,73.94749,74.61962,75.11764000000001,73.69399,74.47393000000001,74.5966,74.86802492936056,75.39038589201812,75.91274685467567,76.43510781733346,76.95746877999102,77.4798297426488,78.00219070530636
7,,,,,,,,,,,,,,,,,,,,,93.9128570556641,,,,,,,,,,,96.1281967163086,,,,,,,,,,97.19331,,,,,98.6108,,,98.98342,98.95496999999999,99.10833000000001,99.10523,99.12195,98.99389000000001,99.17996,99.12501,,99.00386999999999,98.8246463602314,98.84803933751036,98.87143231478932,98.89482529206828,98.91821826934724,98.9416112466262,98.96500422390515
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.7918014526367,,,,,,,,99.60191,,99.75984,99.77114,99.77863,99.77577,99.78936,99.78899,99.78806,99.79006,99.79123,,99.7112987802826,99.7128044436556,99.71431010702861,99.7158157704016,99.7173214337746,99.7188270971476,99.7203327605206
14,,,,,,,,,,,,,,,,,,,,22.5085506439209,,,,,,,,,,,37.3847198486328,,,,,,,,,,59.303619999999995,,,,,,,,48.08406,,,,,,61.56973000000001,,,68.37533,,52.77411948110904,52.90897160884589,53.04382373658268,53.17867586431947,53.313527992056265,53.448380119793114,53.58323224752991
16,,,,,,,,,,,,,,,,,,,,16.4827899932861,,,,,,,,,,,,,27.2452507019043,,,,,,,,,,34.65785,,,,28.702109999999998,,,,,,32.94882,,,,,,42.3624,31.95880991276509,32.02376573763591,32.088721562506734,32.153677387377584,32.218633212248406,32.283589037119256,32.34854486199008
17,,,,,,,,,,,,,,,,8.68515014648438,,,,,,,,,,,,,,,,13.5692300796509,,,,,12.8481702804565,,,,,,,21.82292,,23.553720000000002,22.472579999999997,28.72921,,,,,,,34.5994,,,,41.22445,25.856618976904883,25.97330758933802,26.08999620177113,26.206684814204237,26.323373426637346,26.440062039070455,26.556750651503563
18,,,,,,,,,,,,,,,,,,,,,,29.2272300720215,,,,,,,,,,35.3193016052246,,,,,,,,,,47.4855,,,,,,46.6636,,,,58.769180000000006,57.86075,61.01554,61.0933,65.13733,72.75872,72.89296999999999,73.9122,61.68446603921524,61.88612566002547,62.08778528083565,62.28944490164582,62.491104522456055,62.69276414326623,62.894423764076464
20,,,,,,,,,,,,,,,,,,,,,,69.75350952148439,,,,,,,,,,84.0138320922852,,,,,,,,,,86.54874000000001,,,,,,,,,90.9774,,,,,,97.06668,97.40389,97.46419,91.39447846509402,91.49288982010528,91.5913011751165,91.68971253012775,91.788123885139,91.88653524015022,91.98494659516147
26,,,,,,,,,,,,,,,,,63.2081489562988,,,,,,,,,,,,,,,,79.9917678833008,,,,,,,,,86.72367,,,,,,90.74347,90.69811,91.16783000000001,,92.22615,94.46056999999999,,,92.45508000000001,,,,89.49891303227975,89.60916960844142,89.71942618460307,89.82968276076471,89.93993933692639,90.05019591308803,90.1604524892497
27,,,,,,,,,,,,,,,,,,,,,74.58673095703129,,,,,,,,,,,,,,,,,,,,86.36788,,,,88.61624,,89.61523000000001,90.00936999999999,90.03662,90.29821,90.37918,91.41124,91.33785,91.48424,91.72943000000001,92.0479,92.80844,93.07582,93.2275,91.46393602647127,91.53266283758198,91.60138964869269,91.6701164598034,91.7388432709141,91.80757008202478,91.87629689313549
28,,,,,,,,,,,99.2680816650391,,,,,,,,,,,,,,99.5999984741211,,,,,,,,,,99.5999984741211,,,,,,,,,,99.6,,,,,,,,,,99.6,,,,,99.5999993217532,99.59999932528207,99.59999932881092,99.59999933233978,99.59999933586865,99.5999993393975,99.59999934292637
29,,,,,,,,,,,,,,,,,,,,,,77.7354965209961,,,,,,,,,,87.8041763305664,,,,,,,,,,92.67113,,,,,,,,,,96.08556,,,,,,,97.21410999999999,91.55551749349108,91.60774344862351,91.65996940375595,91.7121953588884,91.76442131402084,91.81664726915328,91.86887322428572
32,,,,,,,,,,,,,,,,18.2361698150635,,,,,,,,,,,,,33.624420166015604,,,,,,,,,,,,50.64517,,,,,,,,,,36.75261,,,,,,,,37.39582,36.71630824949197,36.77403617671182,36.83176410393165,36.88949203115149,36.947219958371335,37.004947885591164,37.06267581281101
34,,,,,,,,,,,,,,,,,,,,,,,97.98486328125,98.00900268554692,98.0458602905273,98.0774993896484,98.102783203125,98.13768768310551,98.03418731689449,98.0908432006836,98.1505126953125,98.19686889648442,98.24710083007808,98.2886123657227,98.3343505859375,98.3799896240234,98.41967010498051,98.4588470458984,98.5436172485352,98.4738311767578,98.50942993164058,98.536376953125,98.5663833618164,98.5828170776367,98.60521697998051,98.6283111572266,98.6360397338867,98.6545028686523,98.6924896240234,98.89840698242192,98.91731999999999,98.93486,98.9454,98.95481,98.96629,98.97773000000001,98.99005,,,98.79856514923398,98.81163326581526,98.82470138239653,98.83776949897779,98.85083761555906,98.86390573214032,98.8769738487216
37,,,,,,,,,,,,,,,,,,,,,,,91.1284027099609,,,,,,,,,,94.2911376953125,,,,,,,,,,95.71661999999999,,,,,,98.64901,98.55368,,96.70300999999999,,96.26706,,96.87413000000001,,96.40228,,96.54497257881559,96.56496990661219,96.5849672344088,96.60496456220541,96.62496189000201,96.64495921779863,96.66495654559523
38,,,,,,,,,,,,,,,,,,,,,,,65.5050888061523,,,,,,,,77.7850570678711,,,,,,,,,,90.92021,,,,,,,,,,95.12448,,,,,,,,96.84089,87.28169092173493,87.36696366119037,87.4522364006458,87.5375091401012,87.62278187955664,87.70805461901207,87.79332735846751
39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.1392784118652,,,,,,,,,,36.35023880004879,,48.740759999999995,,,,,,,,,,,,40.981629999999996,,43.90842,,,,47.16535,42.48226036127691,42.50731511791405,42.53236987455118,42.55742463118832,42.58247938782545,42.60753414446259,42.63258890109972
40,,,,,,,,,,,,,,,,,41.2162094116211,,,,,,,,,,,,,,,,,,,,,,,,68.40916,,,,,,,70.67994,,,71.29051,,,,,,,,77.07104,68.18301281687238,68.28508118914525,68.38714956141808,68.48921793369092,68.59128630596376,68.6933546782366,68.79542305050944
43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.0630874633789,,,91.20716094970699,,,,,,,,92.80378,92.84866,92.29968000000001,92.65179,93.37818,93.24469,93.37233,93.58053000000001,,,94.18625,94.24505,94.65385,,95.09251,93.48261782040208,93.49490681168942,93.50719580297674,93.51948479426407,93.5317737855514,93.54406277683873,93.55635176812606
47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.2455825805664,86.2917709350586,86.55712890625,86.8034210205078,87.05032348632808,87.2992935180664,86.9808883666992,87.8200836181641,88.1088333129883,88.3747100830078,88.6284408569336,88.8819580078125,89.16519165039058,89.3398818969727,89.9234390258789,90.1681594848633,90.3749771118164,90.60098,90.79542,90.80851,90.8723,91.0397,91.12809,,,,89.53771292606491,89.5668946533062,89.59607638054749,89.62525810778877,89.65443983503005,89.68362156227133,89.7128032895126
57,,,,,,,,,,,,,,,,,,,,,,73.064567565918,,,,,,,,,,,,,,,,,,,,,86.99647,,,,,88.24446,,,89.53873,90.10638,90.15518,90.85815,91.76375999999999,91.99121,93.77846,,,90.14124583789696,90.20339204961802,90.26553826133906,90.3276844730601,90.38983068478116,90.4519768965022,90.51412310822326
58,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.6308784484863,,,,,,,,,,,,,,,69.8735,,,,72.64868,,75.13605,,,,,,,,,,81.40784000000001,71.21674398207297,71.27830041092196,71.33985683977095,71.40141326861992,71.4629696974689,71.5245261263179,71.58608255516688
59,,,,,,,,,,,,,,,,,63.8531913757324,64.0217437744141,65.138542175293,66.2955703735352,66.81149291992189,68.506217956543,69.3649520874023,70.6679611206055,71.7142868041992,72.7146682739258,73.64244079589841,74.8802108764648,79.2213973999023,79.91346740722659,79.7882919311523,81.0784378051758,81.5922012329102,82.0609817504883,82.6044998168945,83.1411209106445,83.6775665283203,89.3178024291992,89.6892318725586,90.02454376220699,90.55638885498051,90.79418182373051,91.17562866210942,91.55072021484379,92.0928115844727,92.46090698242192,92.884033203125,93.9615020751953,94.20285034179692,94.50540161132808,94.60775,94.45593000000001,94.67794,94.77901999999999,95.19566,95.40914000000001,95.52339,95.72633,95.86556,99.215542915882,99.85132041457223,100.48709791326246,101.12287541195269,101.75865291064292,102.39443040933315,103.03020790802339
60,,,,,,,,,,,,,,,,48.9860305786133,49.201198577880895,49.8217582702637,50.440589904785206,51.0356216430664,51.106040954589794,51.87763977050779,52.8216400146484,53.43305969238279,54.2208595275879,54.8720512390137,55.4910011291504,56.3762016296387,57.115840911865206,57.7994384765625,58.6562690734863,59.1395797729492,60.162960052490206,60.949001312255895,61.744758605957,62.5383186340332,63.2736015319824,63.933998107910206,66.9606170654297,67.5734786987305,68.25006103515629,68.678337097168,69.3734893798828,70.4060287475586,71.195556640625,71.1022491455078,71.2455825805664,72.19947814941409,73.2802429199219,74.129768371582,75.28231,75.28605999999999,75.91448000000001,76.49256,77.23448,77.95227,78.57369,79.01262,79.35073,79.231589700001,79.85819803102072,80.48480636204044,81.11141469306017,81.7380230240799,82.36463135509985,82.99123968611957
61,,,,,,,,,,,,,,,,,65.759033203125,65.9539108276367,66.9868621826172,68.0579681396484,68.5194778442383,70.1166915893555,70.8775100708008,72.0640106201172,73.02134704589841,73.9372482299805,74.7871932983398,75.9639205932617,79.8681564331055,80.5110626220703,80.4160919189453,81.58445739746091,82.0579071044922,82.48622131347659,83.003547668457,83.5123977661133,84.0223770141602,89.0765228271484,89.43335723876949,89.7908096313477,90.3135299682617,90.52139282226558,90.9091262817383,91.304443359375,91.86688232421879,92.2488632202148,92.6714096069336,93.6602935791016,93.9331588745117,94.2249984741211,94.26817,94.07540999999999,94.31349,94.42047,94.91781,95.13715,95.25384,95.46465,95.6076,98.52829896961134,99.1191866484894,99.71007432736724,100.30096200624507,100.8918496851229,101.48273736400097,102.0736250428788
62,,,,,,,,,,,,,,,,,,,,,,,,93.70716094970699,94.50653076171879,94.7606582641602,94.85047149658199,95.0237579345703,95.2090606689453,95.3310317993164,95.56945037841801,95.60775756835942,95.7301788330078,95.8511581420898,95.9709014892578,96.0927734375,96.271728515625,96.38320922851558,96.7079696655273,96.7728805541992,96.8884124755859,96.96607208251949,97.05272674560551,97.1262664794922,97.29122924804692,97.4943084716797,97.4581298828125,97.5534896850586,97.5582504272461,98.08685302734379,98.38939,98.6356,98.76158000000001,98.81141,98.84281999999999,98.87196999999999,98.98786,98.96444,99.0011,98.37746488226395,98.4405437567415,98.50362263121906,98.56670150569663,98.62978038017418,98.69285925465174,98.7559381291293
63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.6731109619141,95.8122024536133,95.9737319946289,96.0999298095703,96.3524627685547,96.4646377563477,96.58328247070308,96.6643600463867,96.80673217773442,96.89122772216801,96.9810409545898,96.97740936279301,97.1338424682617,97.1341934204102,97.24844360351558,97.4167098999023,97.58114,97.89486,97.99824,98.06956,98.11636999999999,98.16487,98.25469,98.27194,98.33417,97.56041818046882,97.57727034153652,97.59412250260424,97.61097466367195,97.62782682473966,97.64467898580737,97.66153114687509
64,,,,,,,,,,,,,,,,,,,,,,,83.5526885986328,,,,,,,,88.2987594604492,,,,,,,,,,,90.98403,,,,,,92.09679,92.39005,92.24976,91.85404,91.5869,92.06473000000001,93.29463,94.22264,94.45566,94.35023000000001,92.82979,,92.71215765820678,92.75304905450383,92.7939404508009,92.83483184709796,92.87572324339503,92.91661463969209,92.95750603598916
65,,,,,,,,,,,,,,,,,38.19675827026371,,,,,,,,,,44.423988342285206,,,,,,,,,,55.5870018005371,,,,,,,,,71.40886,66.36991,,,,72.04785,,73.86559,75.06073,,,,71.16825,,67.18040202667788,67.34935887772883,67.51831572877984,67.68727257983085,67.85622943088185,68.02518628193286,68.19414313298381
68,,,,,,,,,,,,,,,,,,,,,,92.8097686767578,,,,,,,,,,96.4949722290039,,,,,,,,,,,,,97.16512,97.75069,,97.93884,97.63061,97.67926999999999,97.7489,97.78375,97.89454,98.07913,98.09371999999999,98.14326,98.25050999999999,,98.4365,97.94026764834925,97.96027996451446,97.98029228067968,98.0003045968449,98.0203169130101,98.04032922917531,98.06034154534053
70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.011360168457,,,,,,,,,,35.9,29.82034,,38.995979999999996,,,,,,,,,,51.77118,,37.512412960831796,37.546272999462644,37.58013303809349,37.61399307672434,37.64785311535519,37.68171315398605,37.7155731926169
72,,,,,,,,,,,,,,,,,,,,,,,,,,,55.1272506713867,55.7233695983887,56.2228813171387,56.471950531005895,56.9333686828613,57.1229782104492,57.3062210083008,57.540920257568395,58.4564895629883,58.9664916992188,59.5037498474121,60.365451812744105,61.2371711730957,61.79219055175779,62.63916015625,63.498741149902294,64.2841033935547,64.4421005249023,64.8756790161133,65.0893936157227,63.217350006103494,63.499149322509794,63.0991287231445,61.1203689575195,61.55183,61.16862,61.362519999999996,61.16073000000001,61.86611,62.22513000000001,62.50688,63.33,63.75516,62.75276490535538,62.83278839283855,62.912811880321755,62.99283536780493,63.07285885528813,63.152882342771335,63.23290583025451
87,,,,,,,,,,,,,,,,,,,,,,90.51232147216801,,,,,,,,,,92.6104507446289,,,,,,,,,,95.99436,,,,93.04431,,93.93155,,93.90511,,97.36874,,,,,,,,94.22082450574544,94.23379432314675,94.24676414054807,94.25973395794938,94.2727037753507,94.28567359275202,94.29864341015333
88,,,,,,,,,,,97.7944717407227,,,,,,,,,,,,,,98.5999984741211,,,,,,,,,,98.5999984741211,,,,,,,,,,98.6,,,,,,,,,,98.6,,,,,98.5999993217532,98.59999932528207,98.59999932881092,98.59999933233978,98.59999933586865,98.5999993393975,98.59999934292637
90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.21163940429689,,,,,,,,69.10173,,,,,,,,,,78.26486,77.03867,81.2859,,,,,74.65298631308177,74.68100408109103,74.70902184910031,74.73703961710956,74.76505738511884,74.7930751531281,74.82109292113736
95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.01103,,,,,,83.58899,,,84.75536,85.1233,85.35555,85.46441999999999,87.19753,87.90683,88.98748,,87.20524,85.85579802035151,85.86814072953283,85.88048343871415,85.89282614789545,85.90516885707677,85.91751156625809,85.9298542754394
96,,,,,,,,,,,,,,,,,,,,,,,,,,,44.0530891418457,44.619789123535206,44.9506607055664,45.5566482543945,46.104278564453104,46.3448295593262,46.6260299682617,46.9882392883301,47.5808906555176,47.5551986694336,48.055259704589794,48.8920783996582,49.591758728027294,50.3950881958008,51.119499206543,52.0006103515625,52.4675483703613,53.309051513671896,55.154899597168,54.3778800964355,53.2385597229004,54.593391418457,54.1157302856445,54.7814598083496,55.25037,57.37311999999999,58.83455,59.044990000000006,59.907680000000006,60.39487,61.19566,62.12908,62.6266,57.156925714583565,57.35509384495157,57.553261975319515,57.75143010568746,57.94959823605541,58.147766366423355,58.34593449679136
100,,,,,,,,,,,,,,,,61.8238105773926,61.9939117431641,62.3421401977539,63.1557197570801,63.962860107421896,64.4782180786133,65.38546752929689,66.22316741943361,67.119987487793,67.9851226806641,68.7629318237305,69.4905624389648,70.35495758056639,72.7209930419922,73.3637924194336,73.6913528442383,74.4685974121094,75.06153869628909,75.55523681640629,76.04139709472659,76.5565490722656,77.0917892456055,80.0301513671875,81.60511779785159,81.9821472167969,82.4714279174805,82.7173614501953,83.1494064331055,83.81764221191409,84.30979919433591,84.40899658203129,84.40248107910159,85.47662353515629,85.83152770996091,86.23973846435551,86.82038,87.17826,87.51869,87.73278,88.12764,88.43664,88.5859,88.8029,89.05044000000001,91.11825282610266,91.68915904705341,92.26006526800438,92.83097148895513,93.4018777099061,93.97278393085685,94.5436901518076
101,,,,,,,,,,,,,,,,58.7799606323242,58.9324607849121,59.2670288085938,59.9891586303711,60.70854187011721,61.1862907409668,61.975669860839794,62.734169006347706,63.5364799499512,64.3201370239258,65.0321502685547,65.6970367431641,66.50502777099611,68.6112899780273,69.24124145507811,69.6134719848633,70.2956619262695,70.9030685424805,71.4220428466797,71.9273300170898,72.4131774902344,72.9427719116211,75.4657363891602,76.9546127319336,77.36090087890629,77.62660217285159,77.9346466064453,78.3866424560547,79.0312576293945,79.6465072631836,79.6309509277344,79.5772476196289,80.317741394043,80.7690811157227,81.1748428344727,81.67029000000001,81.93721,82.35303,82.56062,82.97848,83.34816,83.71072,83.98566,84.19382,85.7941374051045,86.32282406946229,86.85151073381985,87.38019739817742,87.90888406253521,88.43757072689277,88.96625739125034
102,,,,,,,,,,,,,,,,,,,,,,44.852611541748,45.2134017944336,45.541088104248,45.915618896484396,46.2972183227539,46.6470603942871,47.171760559082,47.973518371582,48.5389404296875,49.135440826415994,49.5329399108887,50.40177917480471,51.2394905090332,52.048511505127,52.622829437255895,53.2715187072754,54.037570953369105,55.361629486084006,56.1284294128418,55.5755805969238,56.363521575927706,57.077510833740206,57.7803802490234,59.118648529052706,58.808048248290994,58.758640289306605,58.31108093261721,59.43962097167971,60.106170654296896,60.520869999999995,60.685269999999996,61.67556999999999,62.12955,62.91562,63.802640000000004,65.25168000000001,66.01621,66.35453000000001,62.43780290497136,62.7448358097638,63.05186871455612,63.35890161934856,63.665934524140994,63.972967428933316,64.28000033372575
